INSTITUTION	STATE	COUNTRY	FY	TOTAL_FUNDING
WASHINGTON UNIVERSITY	MO	UNITED STATES	2015	355533
WASHINGTON UNIVERSITY	MO	UNITED STATES	2015	774892
WASHINGTON UNIVERSITY	MO	UNITED STATES	2015	374592
WASHINGTON UNIVERSITY	MO	UNITED STATES	2015	885788
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2015	502312
VANDERBILT UNIVERSITY	TN	UNITED STATES	2015	242061
UNIVERSITY OF CALIFORNIA BERKELEY	CA	UNITED STATES	2015	380395
VANDERBILT UNIVERSITY	TN	UNITED STATES	2015	27480
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2015	2185000
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2015	8762167
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2015	1121760
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2015	1564143
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2015	100000
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2015	1306433
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	2185000
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	56042
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	376659
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	300000
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	2988863
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	3246582
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	1798435
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	1888199
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	4592387
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	196425
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2015	1159608
INSTITUTE FOR CANCER RESEARCH	PA	UNITED STATES	2015	249000
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2015	1374735
XL SCI-TECH INC	WA	UNITED STATES	2015	744464
BAYLOR COLLEGE OF MEDICINE	TX	UNITED STATES	2015	589926
BRIGHAM AND WOMEN'S HOSPITAL	MA	UNITED STATES	2015	885018
UNIVERSITY OF NEBRASKA MEDICAL CENTER	NE	UNITED STATES	2015	311659
APOGEE BIOTECHNOLOGY CORPORATION	PA	UNITED STATES	2015	499411
UPSTATE MEDICAL UNIVERSITY	NY	UNITED STATES	2015	211470
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2015	688181
HARVARD PILGRIM HEALTH CARE INC	MA	UNITED STATES	2015	187212
STATE UNIVERSITY NEW YORK STONY BROOK	NY	UNITED STATES	2015	204076
BRITISH COLUMBIA CANCER AGENCY	BC	CANADA	2015	101050
UNIVERSITY OF PUERTO RICO MAYAGUEZ	PR	UNITED STATES	2015	109288
CEDARS-SINAI MEDICAL CENTER	CA	UNITED STATES	2015	352750
ST JUDE CHILDREN'S RESEARCH HOSPITAL	TN	UNITED STATES	2015	232616
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2015	200970
MAYO CLINIC ARIZONA	AZ	UNITED STATES	2015	344450
BROAD INSTITUTE INC	MA	UNITED STATES	2015	615301
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	332000
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2015	730259
UNIVERSITY OF NEBRASKA LINCOLN	NE	UNITED STATES	2015	749003
LIPSCOMB UNIVERSITY	TN	UNITED STATES	2015	132136
GEORGETOWN UNIVERSITY	DC	UNITED STATES	2015	202928
ROSWELL PARK CANCER INSTITUTE CORP	NY	UNITED STATES	2015	229028
UNIVERSITY OF VERMONT AND STATE AGRICULTURAL COLLEGE	VT	UNITED STATES	2015	717240
DARTMOUTH COLLEGE	NH	UNITED STATES	2015	483640
STANFORD UNIVERSITY	CA	UNITED STATES	2015	799493
YALE UNIVERSITY	CT	UNITED STATES	2015	421227
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2015	809998
DUKE UNIVERSITY	NC	UNITED STATES	2015	202431
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	5129654
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	5789417
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	499020
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	271552
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	1196335
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	128287
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	33807
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	618546
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	620385
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	3163421
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	9953410
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	354784
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	1995732
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	399990
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	1222554
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	185250
WASHINGTON UNIVERSITY	MO	UNITED STATES	2015	199013
MOUNT SINAI SCHOOL OF MEDICINE	NY	UNITED STATES	2015	258064
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	860394
VANDERBILT UNIVERSITY	TN	UNITED STATES	2015	841497
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2015	796788
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2015	30095
STATE UNIVERSITY NEW YORK STONY BROOK	NY	UNITED STATES	2015	32626
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2015	812527
GEORGIA HEALTH SCIENCES UNIVERSITY	GA	UNITED STATES	2015	315400
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2015	2462800
MAYO CLINIC	MN	UNITED STATES	2015	2185002
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2015	560424
LOYOLA UNIVERSITY CHICAGO	IL	UNITED STATES	2015	3406082
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER	MS	UNITED STATES	2015	310213
LOYOLA UNIVERSITY CHICAGO	IL	UNITED STATES	2015	1717123
LOYOLA UNIVERSITY CHICAGO	IL	UNITED STATES	2015	889820
LOYOLA UNIVERSITY CHICAGO	IL	UNITED STATES	2015	1199991
LOYOLA UNIVERSITY CHICAGO	IL	UNITED STATES	2015	1300000
LOYOLA UNIVERSITY CHICAGO	IL	UNITED STATES	2015	512905
LOYOLA UNIVERSITY CHICAGO	IL	UNITED STATES	2015	1111318
SEATTLE CHILDREN'S HOSPITAL	WA	UNITED STATES	2015	171762
MOUNT SINAI SCHOOL OF MEDICINE	NY	UNITED STATES	2015	221198
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT	TX	UNITED STATES	2015	96020
UNIVERSITY OF IOWA	IA	UNITED STATES	2015	314231
UNIVERSITY OF KANSAS MEDICAL CENTER	KS	UNITED STATES	2015	34182
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	167475
NEW YORK UNIVERSITY SCHOOL OF MEDICINE	NY	UNITED STATES	2015	184331
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2015	549851
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE	CA	UNITED STATES	2015	87776
BRIGHAM AND WOMEN'S HOSPITAL	MA	UNITED STATES	2015	332224
COLUMBIA UNIVERSITY HEALTH SCIENCES	NY	UNITED STATES	2015	498156
NORTHWESTERN UNIVERSITY	IL	UNITED STATES	2015	445007
STANFORD UNIVERSITY	CA	UNITED STATES	2015	180843
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2015	830706
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2015	532044
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2015	56042
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2015	47232
VANDERBILT UNIVERSITY	TN	UNITED STATES	2015	574502
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	124916
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	98107
GEORGIA TECH RESEARCH CORPORATION	GA	UNITED STATES	2015	425736
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2015	143875
UNIVERSITY OF TEXAS SW MED CTR	TX	UNITED STATES	2015	97746
STATE UNIVERSITY OF NEW YORK AT BUFFALO	NY	UNITED STATES	2015	411504
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS	AZ	UNITED STATES	2015	235226
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS	AZ	UNITED STATES	2015	251753
UNIVERSITY OF NEBRASKA LINCOLN	NE	UNITED STATES	2015	245024
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2015	263110
METHODIST HOSPITAL RESEARCH INSTITUTE	TX	UNITED STATES	2015	208148
UNIVERSITY OF UTAH	UT	UNITED STATES	2015	194445
