INSTITUTION	STATE	COUNTRY	FY	TOTAL_FUNDING
STANFORD UNIVERSITY	CA	UNITED STATES	2014	258437
UNIVERSITY OF MARYLAND BALTIMORE	MD	UNITED STATES	2014	1535000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY	MA	UNITED STATES	2014	55094
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2014	64822
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2014	35800
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2014	368132
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2014	194941
UNIVERSITY OF KANSAS MEDICAL CENTER	KS	UNITED STATES	2014	814582
COLUMBIA UNIVERSITY HEALTH SCIENCES	NY	UNITED STATES	2014	385747
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2014	312983
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2014	233865
QUEEN'S MEDICAL CENTER	HI	UNITED STATES	2014	85787
SAINT JOSEPH MERCY HEALTH SYSTEM	MI	UNITED STATES	2014	2182501
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2014	328652
ASSOCIATION OF AMERICAN MEDICAL COLLEGES	DC	UNITED STATES	2014	143891
ECOG-ACRIN MEDICAL RESEARCH FOUNDATION	PA	UNITED STATES	2014	13778655
UNIVERSITY OF SOUTHERN CALIFORNIA	CA	UNITED STATES	2014	694573
UNIVERSITY OF UTAH	UT	UNITED STATES	2014	75000
TORREY PINES INST FOR MOLECULAR STUDIES	FL	UNITED STATES	2014	319170
UNIVERSITY OF SOUTHERN CALIFORNIA	CA	UNITED STATES	2014	696890
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2014	616993
VANDERBILT UNIVERSITY	TN	UNITED STATES	2014	352090
DUKE UNIVERSITY	NC	UNITED STATES	2014	302081
DARTMOUTH COLLEGE	NH	UNITED STATES	2014	504222
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2014	126090
BIOSTRUXS LLC	CA	UNITED STATES	2014	497155
UNIVERSITY OF CALIFORNIA IRVINE	CA	UNITED STATES	2014	469833
LOUISIANA STATE UNIV HSC NEW ORLEANS	LA	UNITED STATES	2014	82541
HARVARD UNIVERSITY SCHOOL OF PUBLIC HEALTH	MA	UNITED STATES	2014	353081
OHIO STATE UNIVERSITY	OH	UNITED STATES	2014	838052
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2014	309209
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS	IN	UNITED STATES	2014	292761
CHILDRENS HOSPITAL OF PHILADELPHIA	PA	UNITED STATES	2014	258230
UNIVERSITY OF TEXAS SW MED CTR	TX	UNITED STATES	2014	55094
UNIVERSITY OF KENTUCKY	KY	UNITED STATES	2014	225093
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2014	300665
HARVARD UNIVERSITY SCHOOL OF PUBLIC HEALTH	MA	UNITED STATES	2014	250558
VANDERBILT UNIVERSITY	TN	UNITED STATES	2014	76145
WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY	NY	UNITED STATES	2014	15948
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2014	31600
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE	FL	UNITED STATES	2014	181612
UNIVERSITY OF ROCHESTER	NY	UNITED STATES	2014	53282
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2014	326066
SOYMEDS INC	NC	UNITED STATES	2014	390222
CASE WESTERN RESERVE UNIVERSITY	OH	UNITED STATES	2014	280670
ROSWELL PARK CANCER INSTITUTE CORP	NY	UNITED STATES	2014	216801
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2014	190313
WASHINGTON UNIVERSITY	MO	UNITED STATES	2014	199013
BETH ISRAEL DEACONESS MEDICAL CENTER	MA	UNITED STATES	2014	189225
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2014	1540004
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2014	256092
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2014	308958
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2014	272606
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2014	55094
WAYNE STATE UNIVERSITY	MI	UNITED STATES	2014	183656
CORNELL UNIVERSITY ITHACA	NY	UNITED STATES	2014	345696
EMORY UNIVERSITY	GA	UNITED STATES	2014	213523
UNIVERSITY OF LOUISVILLE	KY	UNITED STATES	2014	301913
PURDUE UNIVERSITY WEST LAFAYETTE	IN	UNITED STATES	2014	158592
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2014	317009
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2014	98243
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2014	568947
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2014	618119
MAYO CLINIC ARIZONA	AZ	UNITED STATES	2014	1105612
WADSWORTH CENTER	NY	UNITED STATES	2014	283943
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2014	47156
UNIVERSITY OF ARKANSAS AT FAYETTEVILLE	AR	UNITED STATES	2014	301389
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2014	305698
COLUMBIA UNIVERSITY HEALTH SCIENCES	NY	UNITED STATES	2014	130399
COLUMBIA UNIVERSITY HEALTH SCIENCES	NY	UNITED STATES	2014	520533
SCRIPPS RESEARCH INSTITUTE	CA	UNITED STATES	2014	112910
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2014	720713
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2014	262288
UNIVERSITY OF CALIFORNIA BERKELEY	CA	UNITED STATES	2014	194176
UNIVERSITY OF WASHINGTON	WA	UNITED STATES	2014	830694
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2014	42676
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2014	322359
UNIVERSITY OF TEXAS SW MED CTR	TX	UNITED STATES	2014	57431
AMERICAN ASSOCIATION FOR CANCER RESEARCH	PA	UNITED STATES	2014	74000
THOMAS JEFFERSON UNIVERSITY	PA	UNITED STATES	2014	202275
UNIVERSITY OF ARIZONA	AZ	UNITED STATES	2014	76250
HARVARD PILGRIM HEALTH CARE INC	MA	UNITED STATES	2014	203243
UNIVERSITY OF WISCONSIN MADISON	WI	UNITED STATES	2014	302121
STANFORD UNIVERSITY	CA	UNITED STATES	2014	47676
THOMAS JEFFERSON UNIVERSITY	PA	UNITED STATES	2014	73216
UNIVERSITY OF CALIFORNIA DAVIS	CA	UNITED STATES	2014	972136
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2014	154097
SPECTRUM HEALTH HOSPITALS	MI	UNITED STATES	2014	2073804
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2014	899999
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2014	143362
OHIO STATE UNIVERSITY	OH	UNITED STATES	2014	265837
OHIO STATE UNIVERSITY	OH	UNITED STATES	2014	211250
UNIVERSITY OF NEBRASKA MEDICAL CENTER	NE	UNITED STATES	2014	302919
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2014	72734
UNIVERSITY OF UTAH	UT	UNITED STATES	2014	1371396
STANFORD UNIVERSITY	CA	UNITED STATES	2014	51530
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2014	139976
UNIVERSITY OF CALIFORNIA DAVIS	CA	UNITED STATES	2014	700250
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2014	499818
OHIO STATE UNIVERSITY	OH	UNITED STATES	2014	319291
UNIVERSITY OF MARYLAND BALTIMORE	MD	UNITED STATES	2014	396266
LOUISIANA STATE UNIV HSC SHREVEPORT	LA	UNITED STATES	2014	59396
BATTELLE CENTERS/PUB HLTH RES AND EVALUATN	OH	UNITED STATES	2014	685763
WASHINGTON UNIVERSITY	MO	UNITED STATES	2014	691510
UNIVERSITY OF SOUTH FLORIDA	FL	UNITED STATES	2014	39188
UNIV OF MASSACHUSETTS MED SCH WORCESTER	MA	UNITED STATES	2014	249000
WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY	NY	UNITED STATES	2014	341162
UNIVERSITY OF ARIZONA	AZ	UNITED STATES	2014	302046
UNIVERSITY OF SOUTHERN CALIFORNIA	CA	UNITED STATES	2014	307001
UNIVERSITY OF PUERTO RICO MAYAGUEZ	PR	UNITED STATES	2014	107928
COLUMBIA UNIVERSITY HEALTH SCIENCES	NY	UNITED STATES	2014	450000
WAYNE STATE UNIVERSITY	MI	UNITED STATES	2014	165300
GROUP HEALTH COOPERATIVE	WA	UNITED STATES	2014	1078364
INSTITUTE FOR CANCER RESEARCH	PA	UNITED STATES	2014	435886
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2014	234052
UNIVERSITY OF ILLINOIS AT CHICAGO	IL	UNITED STATES	2014	286799
CASE WESTERN RESERVE UNIVERSITY	OH	UNITED STATES	2014	316002
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2014	18872
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2014	184603
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2014	300062
UNIVERSITY OF MARYLAND BALTIMORE	MD	UNITED STATES	2014	308957
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2014	309316
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE	CA	UNITED STATES	2014	315794
DYNUPOL INC	MA	UNITED STATES	2014	225000
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2014	369494
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2014	128153
GROUP HEALTH COOPERATIVE	WA	UNITED STATES	2014	3657805
VANDERBILT UNIVERSITY	TN	UNITED STATES	2014	318507
CEDARS-SINAI MEDICAL CENTER	CA	UNITED STATES	2014	322141
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2014	927998
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2014	402633
NORTHWESTERN UNIVERSITY	IL	UNITED STATES	2014	527979
SALK INSTITUTE FOR BIOLOGICAL STUDIES	CA	UNITED STATES	2014	58946
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2014	329519
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2014	208800
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2014	330263
ROSWELL PARK CANCER INSTITUTE CORP	NY	UNITED STATES	2014	289954
MAYO CLINIC	MN	UNITED STATES	2014	408459
BETH ISRAEL DEACONESS MEDICAL CENTER	MA	UNITED STATES	2014	339713
STANFORD UNIVERSITY	CA	UNITED STATES	2014	26726
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE	CA	UNITED STATES	2014	338142
ROCKEFELLER UNIVERSITY	NY	UNITED STATES	2014	343238
WASHINGTON UNIVERSITY	MO	UNITED STATES	2014	2161999
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2014	42676
STANFORD UNIVERSITY	CA	UNITED STATES	2014	36000
UNIVERSITY OF ALABAMA AT BIRMINGHAM	AL	UNITED STATES	2014	100000
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2014	160943
BRIGHAM AND WOMEN'S HOSPITAL	MA	UNITED STATES	2014	287601
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2014	266362
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2014	77438
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2014	36766
WAKE FOREST UNIVERSITY HEALTH SCIENCES	NC	UNITED STATES	2014	311012
UNIVERSITY OF CALIFORNIA BERKELEY	CA	UNITED STATES	2014	317368
UNIVERSITY OF MARYLAND BALTIMORE	MD	UNITED STATES	2014	412385
VANDERBILT UNIVERSITY	TN	UNITED STATES	2014	313989
NORTHWESTERN UNIVERSITY AT CHICAGO	IL	UNITED STATES	2014	74932
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2014	36530
TEXAS A &amp; M UNIVERSITY HEALTH SCIENCE CTR	TX	UNITED STATES	2014	1392370
TACOMA GENERAL HOSPITAL	WA	UNITED STATES	2014	1016005
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE	CA	UNITED STATES	2014	338142
RBHS-ROBERT WOOD JOHNSON MEDICAL SCHOOL	NJ	UNITED STATES	2014	217284
UNIVERSITY OF CINCINNATI	OH	UNITED STATES	2014	283353
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2014	404161
BRIGHAM AND WOMEN'S HOSPITAL	MA	UNITED STATES	2014	403886
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2014	47033
CASE WESTERN RESERVE UNIVERSITY	OH	UNITED STATES	2014	521098
STANFORD UNIVERSITY	CA	UNITED STATES	2014	2619001
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2014	128333
FLORIDA ASSN OF PEDIATRIC TUMOR PROG	FL	UNITED STATES	2014	722991
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2014	147306
UNIVERSITY OF CALIFORNIA DAVIS	CA	UNITED STATES	2014	307011
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2014	663619
BAYLOR COLLEGE OF MEDICINE	TX	UNITED STATES	2014	314996
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2014	492751
WAYNE STATE UNIVERSITY	MI	UNITED STATES	2014	305938
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2014	240851
UNIVERSITY OF ARIZONA	AZ	UNITED STATES	2014	200178
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2014	241531
WISTAR INSTITUTE	PA	UNITED STATES	2014	383875
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2014	48511
UPSTATE MEDICAL UNIVERSITY	NY	UNITED STATES	2014	94936
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2014	75000
TEMPLE UNIVERSITY	PA	UNITED STATES	2014	579391
UNIVERSITY OF WISCONSIN MILWAUKEE	WI	UNITED STATES	2014	2194191
SCRIPPS RESEARCH INSTITUTE	CA	UNITED STATES	2014	247298
H LEE MOFFITT CANCER CTR &amp; RES INST	FL	UNITED STATES	2014	245722
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2014	273721
WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY	NY	UNITED STATES	2014	36983
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2014	46810
MEDICAL COLLEGE OF WISCONSIN	WI	UNITED STATES	2014	449513
UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN	IL	UNITED STATES	2014	160150
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2014	594156
CANCER PREVENTION INSTIT OF CALIFORNIA	CA	UNITED STATES	2014	162038
KLEIN BUENDEL INC	CO	UNITED STATES	2014	294215
UNIVERSITY OF CHICAGO	IL	UNITED STATES	2014	270911
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2014	285192
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2014	2162000
VIRGINIA COMMONWEALTH UNIVERSITY	VA	UNITED STATES	2014	588534
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2014	170100
HARVARD UNIVERSITY SCHOOL OF PUBLIC HEALTH	MA	UNITED STATES	2014	525330
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2014	197209
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2014	244798
OHIO STATE UNIVERSITY	OH	UNITED STATES	2014	500541
COLUMBIA UNIV NEW YORK MORNINGSIDE	NY	UNITED STATES	2014	511692
DUKE UNIVERSITY	NC	UNITED STATES	2014	349523
STANFORD UNIVERSITY	CA	UNITED STATES	2014	363136
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2014	562530
UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK	AR	UNITED STATES	2014	140360
PURDUE UNIVERSITY WEST LAFAYETTE	IN	UNITED STATES	2014	76602
MOUNT SINAI SCHOOL OF MEDICINE	NY	UNITED STATES	2014	167509
UNIVERSITY OF ROCHESTER	NY	UNITED STATES	2014	76750
UNIVERSITY OF CALIFORNIA IRVINE	CA	UNITED STATES	2014	115125
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2014	448945
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2014	317009
BRIGHAM AND WOMEN'S HOSPITAL	MA	UNITED STATES	2014	191059
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2014	74531
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2014	494961
NORTHWESTERN UNIVERSITY AT CHICAGO	IL	UNITED STATES	2014	201623
LUMICELL DIAGNOSTICS	MA	UNITED STATES	2014	207388
TUFTS UNIVERSITY BOSTON	MA	UNITED STATES	2014	86424
WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY	NY	UNITED STATES	2014	297271
VANDERBILT UNIVERSITY	TN	UNITED STATES	2014	453162
MAYO CLINIC	MN	UNITED STATES	2014	333503
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2014	189837
HARVARD UNIVERSITY SCHOOL OF PUBLIC HEALTH	MA	UNITED STATES	2014	325060
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2014	270835
KAISER FOUNDATION RESEARCH INSTITUTE	CA	UNITED STATES	2014	1648979
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2014	293072
DUQUESNE UNIVERSITY	PA	UNITED STATES	2014	295405
DARTMOUTH COLLEGE	NH	UNITED STATES	2014	289609
PET/X LLC	WA	UNITED STATES	2014	24917
BUTLER HOSPITAL	RI	UNITED STATES	2014	539922
UNIVERSITY OF ARIZONA	AZ	UNITED STATES	2014	138298
ROSWELL PARK CANCER INSTITUTE CORP	NY	UNITED STATES	2014	494386
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2014	1106159
NORTHWESTERN UNIVERSITY AT CHICAGO	IL	UNITED STATES	2014	276202
EMORY UNIVERSITY	GA	UNITED STATES	2014	72634
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2014	312983
SCRIPPS RESEARCH INSTITUTE	CA	UNITED STATES	2014	663250
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2014	252468
CLEVELAND CLINIC LERNER COL/MED-CWRU	OH	UNITED STATES	2014	316002
TEXAS ENGINEERING EXPERIMENT STATION	TX	UNITED STATES	2014	286022
UNIVERSITY OF FLORIDA	FL	UNITED STATES	2014	436009
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2014	146940
HARVARD UNIVERSITY	MA	UNITED STATES	2014	34366
TEMPLE UNIVERSITY	PA	UNITED STATES	2014	307951
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2014	49532
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2014	337668
WISTAR INSTITUTE	PA	UNITED STATES	2014	394854
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2014	327677
STATE UNIVERSITY NEW YORK STONY BROOK	NY	UNITED STATES	2014	306178
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2014	262418
OMNICYTE	NY	UNITED STATES	2014	173412
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2014	292196
EMORY UNIVERSITY	GA	UNITED STATES	2014	24958
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2014	241530
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2014	327573
KLEIN BUENDEL INC	CO	UNITED STATES	2014	170906
DUKE UNIVERSITY	NC	UNITED STATES	2014	450706
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2014	401583
UNIVERSITY OF CALIFORNIA DAVIS	CA	UNITED STATES	2014	442475
DARTMOUTH COLLEGE	NH	UNITED STATES	2014	166416
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2014	312379
HARVARD UNIVERSITY	MA	UNITED STATES	2014	522276
OHIO STATE UNIVERSITY	OH	UNITED STATES	2014	346219
CHILDREN'S HOSPITAL MEDICAL CENTER CINCI	OH	UNITED STATES	2014	307951
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2014	228909
UNIVERSITY OF WISCONSIN MADISON	WI	UNITED STATES	2014	75250
VIRGINIA COMMONWEALTH UNIVERSITY	VA	UNITED STATES	2014	302608
UNIVERSITY OF CALIFORNIA DAVIS	CA	UNITED STATES	2014	197051
CITY COLLEGE OF NEW YORK	NY	UNITED STATES	2014	215849
UNIVERSITY OF TEXAS SW MED CTR	TX	UNITED STATES	2014	299519
UNIVERSITY OF TEXAS SW MED CTR	TX	UNITED STATES	2014	314988
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2014	520986
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2014	332031
UNIVERSITY OF WISCONSIN MADISON	WI	UNITED STATES	2014	2295000
UNIVERSITY OF ALABAMA AT BIRMINGHAM	AL	UNITED STATES	2014	154539
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2014	2563112
MAYO CLINIC	MN	UNITED STATES	2014	295003
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2014	369173
UNIVERSITY OF KENTUCKY	KY	UNITED STATES	2014	34550
TUFTS UNIVERSITY BOSTON	MA	UNITED STATES	2014	484359
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2014	133529
UNIVERSITY OF KANSAS LAWRENCE	KS	UNITED STATES	2014	354290
NORTHWESTERN UNIVERSITY	IL	UNITED STATES	2014	42676
UNIVERSITY OF MASSACHUSETTS AMHERST	MA	UNITED STATES	2014	323673
STANFORD UNIVERSITY	CA	UNITED STATES	2014	443781
UNIVERSITY OF CALIFORNIA RIVERSIDE	CA	UNITED STATES	2014	35429
UNIVERSITY OF ILLINOIS AT CHICAGO	IL	UNITED STATES	2014	306522
HARVARD UNIVERSITY SCHOOL OF PUBLIC HEALTH	MA	UNITED STATES	2014	150203
VANDERBILT UNIVERSITY	TN	UNITED STATES	2014	313989
RBHS-ROBERT WOOD JOHNSON MEDICAL SCHOOL	NJ	UNITED STATES	2014	318417
UNIVERSITY OF NEBRASKA MEDICAL CENTER	NE	UNITED STATES	2014	311659
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS	IN	UNITED STATES	2014	479144
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2014	326066
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2014	311062
UNIVERSITY OF CALIFORNIA DAVIS	CA	UNITED STATES	2014	258128
UNIVERSITY OF WASHINGTON	WA	UNITED STATES	2014	445967
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2014	346184
WISTAR INSTITUTE	PA	UNITED STATES	2014	370000
UNIVERSITY OF TEXAS SW MED CTR	TX	UNITED STATES	2014	172913
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2014	171720
INSTITUTE FOR CANCER RESEARCH	PA	UNITED STATES	2014	147300
STANFORD UNIVERSITY	CA	UNITED STATES	2014	198738
OREGON HEALTH AND SCIENCE UNIVERSITY	OR	UNITED STATES	2014	241084
H LEE MOFFITT CANCER CTR &amp; RES INST	FL	UNITED STATES	2014	81723
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER	MS	UNITED STATES	2014	39766
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE	CA	UNITED STATES	2014	304328
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2014	36090
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2014	186503
UNIVERSITY OF ARIZONA	AZ	UNITED STATES	2014	494813
OHIO STATE UNIVERSITY	OH	UNITED STATES	2014	319550
DUKE UNIVERSITY	NC	UNITED STATES	2014	74978
MOUNT SINAI SCHOOL OF MEDICINE	NY	UNITED STATES	2014	621321
VANDERBILT UNIVERSITY	TN	UNITED STATES	2014	75660
OREGON HEALTH AND SCIENCE UNIVERSITY	OR	UNITED STATES	2014	236445
BOSTON UNIVERSITY	MA	UNITED STATES	2014	33637
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2014	341664
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2014	725717
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2014	456800
UNIVERSITY OF HOUSTON	TX	UNITED STATES	2014	149652
TEMPLE UNIVERSITY	PA	UNITED STATES	2014	298713
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2014	431128
UNIVERSITY OF ROCHESTER	NY	UNITED STATES	2014	308958
NOVOMEDIX INC	CA	UNITED STATES	2014	339734
TEVIDO BIODEVICES LLC	TX	UNITED STATES	2014	150000
WAYNE STATE UNIVERSITY	MI	UNITED STATES	2014	743260
EPIPHANY BIOSCIENCES INC	CA	UNITED STATES	2014	602714
COLUMBIA UNIVERSITY HEALTH SCIENCES	NY	UNITED STATES	2014	41978
LANKENAU INSTITUTE FOR MEDICAL RESEARCH	PA	UNITED STATES	2014	704718
THERATARGET	UT	UNITED STATES	2014	502857
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE	CA	UNITED STATES	2014	2545422
UNIVERSITY OF WASHINGTON	WA	UNITED STATES	2014	349403
STANFORD UNIVERSITY	CA	UNITED STATES	2014	378624
CHILDREN'S HOSPITAL BOSTON	MA	UNITED STATES	2014	191309
UNIVERSITY OF VIRGINIA CHARLOTTESVILLE	VA	UNITED STATES	2014	138384
UNIVERSITY OF CALIFORNIA DAVIS	CA	UNITED STATES	2014	57925
MONTCLAIR STATE UNIVERSITY STUDENT GOVERNMENT	NJ	UNITED STATES	2014	139607
UNIVERSITY OF CALIFORNIA RIVERSIDE	CA	UNITED STATES	2014	229272
MASSACHUSETTS INSTITUTE OF TECHNOLOGY	MA	UNITED STATES	2014	303138
UNIVERSITY OF HAWAII AT MANOA	HI	UNITED STATES	2014	100152
CUREFAKTOR PHARMACEUTICALS LLC	NY	UNITED STATES	2014	219534
VANDERBILT UNIVERSITY	TN	UNITED STATES	2014	303600
WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY	NY	UNITED STATES	2014	340155
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT	TX	UNITED STATES	2014	52916
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2014	315400
OHIO STATE UNIVERSITY	OH	UNITED STATES	2014	852262
THOMAS JEFFERSON UNIVERSITY	PA	UNITED STATES	2014	163507
UNIVERSITY OF TEXAS SW MED CTR	TX	UNITED STATES	2014	132638
UNIVERSITY OF CALIF-LAWRENC BERKELEY LAB	CA	UNITED STATES	2014	2865942
