	YEAR	INSTITUTION	PATENTS_FILED_COUNT	PATENTS_GRANTED_COUNT	ONGOING_TRIALS_COUNT	STATE	TOTAL_FUNDING
75	2001.0	UNIVERSITY OF CALIFORNIA LOS ANGELES	4.0	1.0	0.0		
76	2001.0	UNIVERSITY OF CALIFORNIA SAN DIEGO	15.0	0.0	0.0		
77	2001.0	UNIVERSITY OF CALIFORNIA SYS OFFICE/PRES	13.0	0.0	0.0		
78	2001.0	UNIVERSITY OF CALIFORNIA, SAN FRANCISCO	13.0	0.0	1.0		
79	2001.0	UNIVERSITY OF CHICAGO	5.0	0.0	7.0		
80	2001.0	UNIVERSITY OF CINCINNATI	1.0	0.0	0.0		
81	2001.0	UNIVERSITY OF COLORADO	2.0	0.0	0.0		
82	2001.0	UNIVERSITY OF CONNECTICUT SCH OF MED/DNT	3.0	0.0	0.0		
83	2001.0	UNIVERSITY OF FLORIDA	2.0	0.0	0.0		
84	2001.0	UNIVERSITY OF GEORGIA	1.0	0.0	0.0		
85	2001.0	UNIVERSITY OF ILLINOIS AT CHICAGO	3.0	0.0	0.0		
86	2001.0	UNIVERSITY OF IOWA	5.0	0.0	1.0		
87	2001.0	UNIVERSITY OF MARYLAND BALTIMORE	3.0	0.0	0.0		
88	2001.0	UNIVERSITY OF MICHIGAN	9.0	0.0	0.0		
89	2001.0	UNIVERSITY OF MINNESOTA	3.0	0.0	0.0		
90	2001.0	UNIVERSITY OF MISSOURI-COLUMBIA	2.0	0.0	0.0		
91	2001.0	UNIVERSITY OF NEBRASKA MEDICAL CENTER	3.0	0.0	0.0		
92	2001.0	UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR	2.0	0.0	0.0		
93	2001.0	UNIVERSITY OF PENNSYLVANIA	4.0	0.0	0.0		
94	2001.0	UNIVERSITY OF PITTSBURGH	5.0	0.0	1.0		
95	2001.0	UNIVERSITY OF ROCHESTER	2.0	0.0	2.0		
96	2001.0	UNIVERSITY OF SOUTH FLORIDA	5.0	0.0	0.0		
97	2001.0	UNIVERSITY OF SOUTHERN CALIFORNIA	4.0	0.0	1.0		
98	2001.0	UNIVERSITY OF TENNESSEE HEALTH SCI CTR	1.0	0.0	0.0		
99	2001.0	UNIVERSITY OF TEXAS HLTH SCIENCE CENTER	1.0	0.0	0.0		
100	2001.0	UNIVERSITY OF TEXAS MEDICAL BR GALVESTON	1.0	0.0	0.0		
101	2001.0	UNIVERSITY OF TEXAS, AUSTIN	3.0	0.0	0.0		
102	2001.0	UNIVERSITY OF TX MD ANDERSON CAN CTR	10.0	0.0	0.0		
103	2001.0	UNIVERSITY OF UTAH	7.0	0.0	0.0		
104	2001.0	UNIVERSITY OF VERMONT & ST AGRIC COLLEGE	1.0	0.0	0.0		
105	2001.0	UNIVERSITY OF VIRGINIA	1.0	0.0	0.0		
106	2001.0	UNIVERSITY OF WASHINGTON	8.0	0.0	2.0		
107	2001.0	UNIVERSITY OF WISCONSIN-MADISON	12.0	0.0	0.0		
108	2001.0	UT SOUTHWESTERN MEDICAL CENTER	6.0	0.0	0.0		
109	2001.0	VANDERBILT UNIVERSITY	3.0	0.0	0.0		
110	2001.0	WASHINGTON STATE UNIVERSITY	2.0	0.0	0.0		
111	2001.0	WASHINGTON UNIVERSITY	2.0	0.0	0.0		
112	2001.0	WHITEHEAD INSTITUTE FOR BIOMEDICAL RES	1.0	0.0	0.0		
113	2001.0	WISTAR INSTITUTE	1.0	0.0	0.0		
114	2001.0	YALE UNIVERSITY	4.0	0.0	0.0		
115	2002.0	ALBANY MEDICAL COLLEGE	2.0	0.0	0.0		
116	2002.0	ALBERT EINSTEIN COLLEGE OF MEDICINE, INC	2.0	0.0	0.0		
117	2002.0	ANTHONY CARLYLE FORSTER	1.0	0.0	0.0		
118	2002.0	ARIZONA STATE UNIVERSITY-TEMPE CAMPUS	4.0	1.0	0.0		
119	2002.0	ARROWSMITH TECHNOLOGIES, LLC.	1.0	0.0	0.0		
120	2002.0	AZEVAN PHARMACEUTICALS, INC.	1.0	0.0	0.0		
121	2002.0	BAYLOR COLLEGE OF MEDICINE	1.0	0.0	5.0		
122	2002.0	BETH ISRAEL DEACONESS MEDICAL CENTER	1.0	0.0	1.0		
123	2002.0	BOLDER BIOTECHNOLOGY, INC.	1.0	0.0	0.0		
124	2002.0	BOSTON UNIVERSITY MEDICAL CAMPUS	1.0	1.0	0.0		
125	2002.0	BRIGHAM AND WOMEN'S HOSPITAL	4.0	2.0	0.0		
126	2002.0	BRIGHAM YOUNG UNIVERSITY	1.0	0.0	0.0		
127	2002.0	BROWN UNIVERSITY	1.0	0.0	0.0		
128	2002.0	BUCK INSTITUTE FOR RESEARCH ON AGING	1.0	0.0	0.0		
129	2002.0	CALIFORNIA INSTITUTE OF TECHNOLOGY	3.0	0.0	0.0		
130	2002.0	CASE WESTERN RESERVE UNIVERSITY	4.0	0.0	0.0		
131	2002.0	CEDARS-SINAI MEDICAL CENTER	6.0	0.0	0.0		
132	2002.0	CHILDREN'S HOSP OF PHILADELPHIA	1.0	0.0	0.0		
133	2002.0	CHILDREN'S HOSPITAL CORPORATION	3.0	0.0	0.0		
134	2002.0	CINCINNATI CHILDRENS HOSP MED CTR	1.0	0.0	0.0		
135	2002.0	COLUMBIA UNIV NEW YORK MORNINGSIDE	11.0	0.0	0.0		
136	2002.0	CORNELL UNIVERSITY	2.0	1.0	0.0		
137	2002.0	DANA-FARBER CANCER INST	9.0	0.0	0.0		
138	2002.0	DARTMOUTH COLLEGE	2.0	1.0	0.0		
139	2002.0	DR. JOHN KREIDER	1.0	1.0	0.0		
140	2002.0	EMORY UNIVERSITY	6.0	0.0	1.0		
141	2002.0	ERNEST GALLO CLINIC AND RESEARCH CENTER	1.0	0.0	0.0		
142	2002.0	FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH	2.0	0.0	0.0		
143	2002.0	FRED HUTCHINSON CANCER RESEARCH CENTER	1.0	0.0	4.0		
144	2002.0	GEORGIA REGENTS UNIVERSITY	1.0	0.0	0.0		
145	2002.0	GEORGIA STATE UNIVERSITY	1.0	0.0	0.0		
146	2002.0	HARVARD UNIVERSITY	9.0	0.0	0.0		
147	2002.0	ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI	4.0	0.0	0.0		
148	2002.0	INDIANA UNIVERSITY	1.0	0.0	0.0		
149	2002.0	J. DAVID GLADSTONE INSTITUTES	3.0	0.0	0.0		
150	2002.0	JOHNS HOPKINS UNIVERSITY	1.0	0.0	0.0		
151	2002.0	LARGE SCALE BIOLOGY CORPORATION	1.0	0.0	0.0		
152	2002.0	LOUISIANA STATE UNIV A&M COL BATON ROUGE	1.0	1.0	0.0		
153	2002.0	MAINE MEDICAL CENTER	1.0	0.0	0.0		
154	2002.0	MASSACHUSETTS GENERAL HOSPITAL	4.0	0.0	3.0		
155	2002.0	MASSACHUSETTS INSTITUTE OF TECHNOLOGY	9.0	0.0	0.0		
156	2002.0	MAYO CLINIC ROCHESTER	7.0	0.0	0.0		
157	2002.0	MEDICAL UNIVERSITY OF SOUTH CAROLINA	2.0	0.0	2.0		
158	2002.0	NEUROCRINE BIOSCIENCES, INC.	5.0	0.0	0.0		
159	2002.0	NEW YORK UNIVERSITY	1.0	0.0	0.0		
160	2002.0	OHIO STATE UNIVERSITY	1.0	0.0	0.0		
161	2002.0	OREGON HEALTH & SCIENCE UNIVERSITY	6.0	0.0	0.0		
162	2002.0	PENNSYLVANIA STATE UNIVERSITY	3.0	1.0	0.0		
163	2002.0	PRINCETON UNIVERSITY	1.0	0.0	0.0		
164	2002.0	PURDUE UNIVERSITY	4.0	0.0	0.0		
165	2002.0	RESEARCH TRIANGLE INSTITUTE	3.0	0.0	0.0		
166	2002.0	RICE UNIVERSITY	1.0	0.0	0.0		
167	2002.0	ROCKEFELLER UNIVERSITY	1.0	0.0	0.0		
168	2002.0	ROSWELL PARK CANCER INSTITUTE	3.0	1.0	13.0		
169	2002.0	SALK INSTITUTE FOR BIOLOGICAL STUDIES	2.0	1.0	0.0		
170	2002.0	SANFORD-BURNHAM MEDICAL RESEARCH INSTIT	3.0	0.0	0.0		
171	2002.0	SCRIPPS RESEARCH INSTITUTE	11.0	1.0	0.0		
172	2002.0	SIDNEY KIMMEL CANCER CENTER	1.0	2.0	0.0		
173	2002.0	SLOAN-KETTERING INST CAN RESEARCH	8.0	0.0	0.0		
174	2002.0	ST. JUDE CHILDREN'S RESEARCH HOSPITAL	3.0	1.0	3.0		
175	2002.0	STANFORD UNIVERSITY	15.0	3.0	0.0		
176	2002.0	STATE UNIVERSITY NEW YORK STONY BROOK	2.0	0.0	0.0		
177	2002.0	STATE UNIVERSITY OF NEW YORK	1.0	0.0	0.0		
178	2002.0	STRATATECH CORPORATION	2.0	0.0	0.0		
179	2002.0	SUDHIR PAUL	1.0	0.0	0.0		
180	2002.0	TEMPLE UNIV OF THE COMMONWEALTH	1.0	0.0	0.0		
181	2002.0	TEXAS A&M UNIVERSITY	2.0	0.0	0.0		
182	2002.0	TEXAS BIOMEDICAL RESEARCH INSTITUTE	2.0	0.0	0.0		
183	2002.0	THOMAS JEFFERSON UNIVERSITY	1.0	0.0	0.0		
184	2002.0	TUFTS MEDICAL CENTER	1.0	0.0	0.0		
185	2002.0	TUFTS UNIVERSITY BOSTON	1.0	0.0	0.0		
186	2002.0	UNIV OF ARKANSAS FOR MED SCIS	1.0	0.0	0.0		
187	2002.0	UNIV OF MARYLAND, COLLEGE PARK	2.0	0.0	0.0		
188	2002.0	UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL	1.0	0.0	0.0		
189	2002.0	UNIV OF NORTH CAROLINA CHAPEL HILL	3.0	0.0	0.0		
190	2002.0	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2.0	0.0	10.0		
191	2002.0	UNIVERSITY OF ARIZONA	2.0	0.0	7.0		
192	2002.0	UNIVERSITY OF CALIFORNIA BERKELEY	6.0	0.0	0.0		
193	2002.0	UNIVERSITY OF CALIFORNIA LOS ANGELES	7.0	0.0	0.0		
194	2002.0	UNIVERSITY OF CALIFORNIA SAN DIEGO	12.0	0.0	0.0		
195	2002.0	UNIVERSITY OF CALIFORNIA SYS OFFICE/PRES	12.0	0.0	0.0		
196	2002.0	UNIVERSITY OF CALIFORNIA, SAN FRANCISCO	5.0	1.0	3.0		
197	2002.0	UNIVERSITY OF CHICAGO	2.0	0.0	8.0		
198	2002.0	UNIVERSITY OF COLORADO	3.0	0.0	0.0		
199	2002.0	UNIVERSITY OF FLORIDA	1.0	0.0	0.0		
200	2002.0	UNIVERSITY OF GEORGIA	2.0	0.0	0.0		
201	2002.0	UNIVERSITY OF ILLINOIS AT CHICAGO	5.0	0.0	0.0		
202	2002.0	UNIVERSITY OF IOWA	4.0	0.0	1.0		
203	2002.0	UNIVERSITY OF LOUISVILLE	1.0	0.0	0.0		
204	2002.0	UNIVERSITY OF MARYLAND BALTIMORE	1.0	0.0	0.0		
